bio_replica	sample	fq1	fq2	read_count	base_count	fq1_bytes	fq2_bytes	fq1_md5	fq2_md5	frac	read_count_frac	analyse
6V3	SRR5557999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5557999/SRR5557999_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5557999/SRR5557999_2.fastq.gz	3196662	961683817	253.1505241394043	268.33758640289307	fd13dae89882df0b1908e7674d590a8f	14186adc52d48a2b76ceaab7e7854620	1	3196662	FALSE
46V3	SRR5558000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558000/SRR5558000_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558000/SRR5558000_2.fastq.gz	3099272	932273017	255.46021270751953	268.7862205505371	e5271642047527b50c4a045824280dde	49e3ec420df818b5a6964adfaf291a2f	1	3099272	TRUE
46V3	SRR5558001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558001/SRR5558001_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558001/SRR5558001_2.fastq.gz	3145724	946554647	260.08173656463623	273.79895305633545	287caee4a063678ddabf2660f10a6527	87cac356bd4495a214c00ea3cd328218	1	3145724	TRUE
46V3	SRR5558002	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558002/SRR5558002_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558002/SRR5558002_2.fastq.gz	9969699	3010849098	935.1483325958252	960.858302116394	05013be8e0a6f3aaf39c610aa58a7858	bbb72b948fce76e738f1d904b457d03e	0.31	3090607	TRUE
46V3	SRR5558003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558003/SRR5558003_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558003/SRR5558003_2.fastq.gz	3120100	938535356	258.1828422546387	270.89135360717773	d572a7ed723a8c8c158b57ed0edc9eae	551f81f7cfbe8ac2bfeb032bc6388997	1	3120100	TRUE
46V1	SRR5558004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558004/SRR5558004_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558004/SRR5558004_2.fastq.gz	3056176	919635279	251.2651538848877	267.42967987060547	f5b2d01b31f88ecc33db5e2eade04e56	ea1f6d522305499b4f2ef3caef841f5d	1	3056176	TRUE
46V1	SRR5558005	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558005/SRR5558005_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558005/SRR5558005_2.fastq.gz	2950582	887863791	240.42091274261475	257.3106298446655	724044e02eff3a5ada08b9cf7c77bd0d	c95ec968b6dc6652f8cb093ebfef5e45	1	2950582	TRUE
46V1	SRR5558006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558006/SRR5558006_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558006/SRR5558006_2.fastq.gz	3030264	911554323	249.33389949798584	264.61838817596436	0e0107170cb9fad4561e927a535553c2	14b0a86217e2257d393f4a3fa13ec1e3	1	3030264	TRUE
46V1	SRR5558007	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558007/SRR5558007_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558007/SRR5558007_2.fastq.gz	3011922	906027973	246.78500938415527	262.8516035079956	2e8f55898141603bc2518ac2765b0a5a	fa401dd87ee101cf44defc1da75f7775	1	3011922	TRUE
46V3	SRR5558008	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558008/SRR5558008_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558008/SRR5558008_2.fastq.gz	3036759	913750496	248.81648921966553	263.0252981185913	c6aa78f37508eab61cc1c900d2371f5a	f711df04f2f39b5f79e427f05d5395c5	1	3036759	TRUE
46V5	SRR5558009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558009/SRR5558009_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558009/SRR5558009_2.fastq.gz	10548348	3185601096	984.5811166763306	1011.8685874938965	26cbfa4b1cc465b6c86e9c8ba7f61784	de4dcc5d3c84294c6fd2a6d21735dfc4	0.29	3059021	TRUE
45V1	SRR5558010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558010/SRR5558010_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558010/SRR5558010_2.fastq.gz	9418621	2844423542	901.8831405639648	914.8339824676514	8c021ea8286928f4ea80facb5026bfb6	eeb875bd9a63135564fbc6a34c9a15a0	0.32	3013959	TRUE
45V1	SRR5558011	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558011/SRR5558011_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558011/SRR5558011_2.fastq.gz	2556314	768745854	256.98558044433594	257.6921510696411	ec17709a42dd18e78c645c24c79d5e47	a7167a81185bc6f548f49a3e06d50c30	1	2556314	TRUE
44V5	SRR5558012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558012/SRR5558012_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558012/SRR5558012_2.fastq.gz	2623173	788821086	262.87962913513184	266.0033493041992	e418c2c35505dc20c3cdbfa1ae3da354	2cdc0b4957a7ae866ff31c95cc4e8e0b	1	2623173	TRUE
44V5	SRR5558013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558013/SRR5558013_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558013/SRR5558013_2.fastq.gz	2967309	892674778	231.62901496887207	247.78683185577393	864250e3c63f3f27661ed5f76e60e2fd	40a831b3e6e2f0758355bf661b2ef17e	1	2967309	FALSE
44V5	SRR5558014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558014/SRR5558014_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558014/SRR5558014_2.fastq.gz	2640192	793939963	264.36933994293213	267.3695812225342	4acb471eb9eee6df3726d26745234f3b	076bd287a9b4eed910ed237ed91cf4b0	1	2640192	FALSE
44V5	SRR5558015	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558015/SRR5558015_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558015/SRR5558015_2.fastq.gz	2974604	894831892	232.2329397201538	248.32656383514404	885b97699ad01a77e4413d8ecd352f68	ad8b1e8c776ccc9e81ee130b3703add8	1	2974604	FALSE
44V5	SRR5558016	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558016/SRR5558016_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558016/SRR5558016_2.fastq.gz	2625550	789345625	262.46072483062744	265.70381355285645	0e3acc9c8be50771d434f6ea26ea6b98	932d3615dbd1146088552083bd04940f	1	2625550	FALSE
44V5	SRR5558017	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558017/SRR5558017_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558017/SRR5558017_2.fastq.gz	2955211	888741773	232.3772964477539	249.2510633468628	ec7d9e8c7cca4ce3710c13f9e02460c6	7fa6d4a2ee4bc54a71643d8c13019c8c	1	2955211	TRUE
8V3	SRR5558018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558018/SRR5558018_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558018/SRR5558018_2.fastq.gz	2848036	856457836	224.9734983444214	238.09311866760254	066abbc527c309219b0f669b42e99375	64c43760005a7e9b1dbea0295fd2b72d	1	2848036	FALSE
45V1	SRR5558019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558019/SRR5558019_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558019/SRR5558019_2.fastq.gz	2855288	858838496	226.3076581954956	240.79772472381592	d812a742cfda8d7efcddbd9347950eb4	850380911ce08d22a8b102a2bcf92c73	1	2855288	FALSE
45V1	SRR5558020	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558020/SRR5558020_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558020/SRR5558020_2.fastq.gz	2494440	750096239	250.7240400314331	252.36075019836426	088f28d9741b234a5607339212e5ddfa	457e03aa15a517606f143c53c8606149	1	2494440	FALSE
