bio_replica	sample	fq1	fq2	read_count	base_count	fq1_bytes	fq2_bytes	fq1_md5	fq2_md5
6V3	SRR5557999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5557999/SRR5557999_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5557999/SRR5557999_2.fastq.gz	3196662	961683817	265447564	281372353	fd13dae89882df0b1908e7674d590a8f	14186adc52d48a2b76ceaab7e7854620
46V3	SRR5558000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558000/SRR5558000_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558000/SRR5558000_2.fastq.gz	3099272	932273017	267869448	281842780	e5271642047527b50c4a045824280dde	49e3ec420df818b5a6964adfaf291a2f
46V3	SRR5558001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558001/SRR5558001_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558001/SRR5558001_2.fastq.gz	3145724	946554647	272715467	287099011	287caee4a063678ddabf2660f10a6527	87cac356bd4495a214c00ea3cd328218
46V3	SRR5558002	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558002/SRR5558002_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558002/SRR5558002_2.fastq.gz	9969699	3010849098	980574098	1007532955	05013be8e0a6f3aaf39c610aa58a7858	bbb72b948fce76e738f1d904b457d03e
46V3	SRR5558003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558003/SRR5558003_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558003/SRR5558003_2.fastq.gz	3120100	938535356	270724332	284050172	d572a7ed723a8c8c158b57ed0edc9eae	551f81f7cfbe8ac2bfeb032bc6388997
46V1	SRR5558004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558004/SRR5558004_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558004/SRR5558004_2.fastq.gz	3056176	919635279	263470610	280420344	f5b2d01b31f88ecc33db5e2eade04e56	ea1f6d522305499b4f2ef3caef841f5d
46V1	SRR5558005	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558005/SRR5558005_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558005/SRR5558005_2.fastq.gz	2950582	887863791	252099599	269809751	724044e02eff3a5ada08b9cf7c77bd0d	c95ec968b6dc6652f8cb093ebfef5e45
46V1	SRR5558006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558006/SRR5558006_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558006/SRR5558006_2.fastq.gz	3030264	911554323	261445543	277472491	0e0107170cb9fad4561e927a535553c2	14b0a86217e2257d393f4a3fa13ec1e3
46V1	SRR5558007	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558007/SRR5558007_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558007/SRR5558007_2.fastq.gz	3011922	906027973	258772838	275619883	2e8f55898141603bc2518ac2765b0a5a	fa401dd87ee101cf44defc1da75f7775
46V3	SRR5558008	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558008/SRR5558008_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558008/SRR5558008_2.fastq.gz	3036759	913750496	260902999	275802015	c6aa78f37508eab61cc1c900d2371f5a	f711df04f2f39b5f79e427f05d5395c5
46V5	SRR5558009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558009/SRR5558009_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558009/SRR5558009_2.fastq.gz	10548348	3185601096	1032408129	1061021116	26cbfa4b1cc465b6c86e9c8ba7f61784	de4dcc5d3c84294c6fd2a6d21735dfc4
45V1	SRR5558010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558010/SRR5558010_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558010/SRR5558010_2.fastq.gz	9418621	2844423542	945693016	959272958	8c021ea8286928f4ea80facb5026bfb6	eeb875bd9a63135564fbc6a34c9a15a0
45V1	SRR5558011	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558011/SRR5558011_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558011/SRR5558011_2.fastq.gz	2556314	768745854	269468912	270209805	ec17709a42dd18e78c645c24c79d5e47	a7167a81185bc6f548f49a3e06d50c30
44V5	SRR5558012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558012/SRR5558012_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558012/SRR5558012_2.fastq.gz	2623173	788821086	275649270	278924728	e418c2c35505dc20c3cdbfa1ae3da354	2cdc0b4957a7ae866ff31c95cc4e8e0b
44V5	SRR5558013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558013/SRR5558013_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558013/SRR5558013_2.fastq.gz	2967309	892674778	242880626	259823325	864250e3c63f3f27661ed5f76e60e2fd	40a831b3e6e2f0758355bf661b2ef17e
44V5	SRR5558014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558014/SRR5558014_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558014/SRR5558014_2.fastq.gz	2640192	793939963	277211345	280357326	4acb471eb9eee6df3726d26745234f3b	076bd287a9b4eed910ed237ed91cf4b0
44V5	SRR5558015	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558015/SRR5558015_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558015/SRR5558015_2.fastq.gz	2974604	894831892	243513887	260389275	885b97699ad01a77e4413d8ecd352f68	ad8b1e8c776ccc9e81ee130b3703add8
44V5	SRR5558016	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558016/SRR5558016_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558016/SRR5558016_2.fastq.gz	2625550	789345625	275210017	278610642	0e3acc9c8be50771d434f6ea26ea6b98	932d3615dbd1146088552083bd04940f
44V5	SRR5558017	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558017/SRR5558017_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558017/SRR5558017_2.fastq.gz	2955211	888741773	243665256	261358683	ec7d9e8c7cca4ce3710c13f9e02460c6	7fa6d4a2ee4bc54a71643d8c13019c8c
8V3	SRR5558018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558018/SRR5558018_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558018/SRR5558018_2.fastq.gz	2848036	856457836	235901811	249658730	066abbc527c309219b0f669b42e99375	64c43760005a7e9b1dbea0295fd2b72d
45V1	SRR5558019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558019/SRR5558019_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558019/SRR5558019_2.fastq.gz	2855288	858838496	237300779	252494715	d812a742cfda8d7efcddbd9347950eb4	850380911ce08d22a8b102a2bcf92c73
45V1	SRR5558020	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558020/SRR5558020_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558020/SRR5558020_2.fastq.gz	2494440	750096239	262903211	264619426	088f28d9741b234a5607339212e5ddfa	457e03aa15a517606f143c53c8606149
4V3	SRR5558021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558021/SRR5558021_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558021/SRR5558021_2.fastq.gz	2950027	887643983	253794460	267401328	c2bcf3baa8951854315e18e5baace6a1	6712378c36243958f38ab313284631d3
4V3	SRR5558022	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558022/SRR5558022_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558022/SRR5558022_2.fastq.gz	3053226	918693389	264767879	277980223	1ab0c8dc8746ff72951d0d0cbca2dcb4	f06315d95567c58f3ce16ac700b4442a
44V5	SRR5558023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558023/SRR5558023_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558023/SRR5558023_2.fastq.gz	9745606	2943173012	971610674	992961746	79ae0c08fbd0a8cd3b4f30c17c821c29	2ae859bed714eb7a4a278237c25d66dc
44V3	SRR5558024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558024/SRR5558024_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558024/SRR5558024_2.fastq.gz	2787534	838735457	229006298	244202610	228d69387666296317f56744e8bae64e	b558d0f88a9ef72a195adad0b65d6976
44V3	SRR5558025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558025/SRR5558025_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558025/SRR5558025_2.fastq.gz	2453565	737941556	257959939	261212756	1cfc0c0b5ad9303cec3b039cf8122d0a	a151e3a3a107a89de842612c12ef372c
44V3	SRR5558026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558026/SRR5558026_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558026/SRR5558026_2.fastq.gz	2774313	834702197	227821257	242978960	31090dd0f1176b3b407e48c06a3a6d95	07bd22affd851b58ccfae0d2a5a08db0
44V3	SRR5558027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558027/SRR5558027_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558027/SRR5558027_2.fastq.gz	2450828	737082065	257455635	260545749	6888c59e6cfcae5b0e66143c4b6623f5	a9bf990734952b239654d2816c62258c
44V3	SRR5558028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558028/SRR5558028_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558028/SRR5558028_2.fastq.gz	2760965	830473732	228299626	244132493	7bfd7cba4fbdb568cca8bb44f20d4ab6	4a5cec574fadbe08ac1d350c039c09b6
44V3	SRR5558029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558029/SRR5558029_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558029/SRR5558029_2.fastq.gz	2451186	737045421	257087438	260399123	d14bada7904f7e6ccffefe3381e699fd	500823f6c01a3fe06189ed5d917bec69
44V3	SRR5558030	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558030/SRR5558030_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558030/SRR5558030_2.fastq.gz	2744189	825382592	226502168	241090980	ff1e359313ce96f65caa6f81e6fd52ac	eb600eef7c8fe94ca501a2dab3829900
44V5	SRR5558031	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558031/SRR5558031_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558031/SRR5558031_2.fastq.gz	2952691	887967088	243156020	259382246	968081f6d9e0302e29e68613465a3275	32706ea6781ac02ad05e2000213de94f
44V5	SRR5558032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558032/SRR5558032_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558032/SRR5558032_2.fastq.gz	2670922	803054591	280143798	282285898	13bccd6b73e9deaea44083e44ff47326	6d6423e8f8f31784883eb0ed609808a9
38V1	SRR5558033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558033/SRR5558033_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558033/SRR5558033_2.fastq.gz	3040730	914797374	252316827	265514633	77fc2ba37095da9db6ec6ac2d1cbc2ee	81ced1c2d7653beb67ef9ca859ab2f2e
38V1	SRR5558034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558034/SRR5558034_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558034/SRR5558034_2.fastq.gz	2552015	767572989	268348146	270310486	e2594e044cc15bdcaaf23658fb9bff20	fdd9a0a2607997f54f6e87a24e6be27d
